S125,Weight,Energy
2.578268,120,0.0
2.73104,79,5029059.5
3.064278,195,0.0
3.857697,165,0.0
4.856553,125,4128438.5
5.449142,65,0.0
5.772024,89,4116737.0
6.860063,19,0.0
7.266548,80,0.0
8.636308,25,0.0
8.636308,69,0.0
8.636308,94,6515793.0
8.636308,78,7326671.5
8.636308,69,9492318.0
10.872468,12,0.0
12.199109,43,0.0
12.199109,58,6404610.0
12.199109,91,8941643.0
14.498669,67,1.1138377E7
15.357769,88,1.9511184E7
16.267774,82,2.0547926E7
17.2317,8,0.0
17.2317,239,4865185.0
18.252742,11,0.0
19.334285,10,0.0
20.479914,5,0.0
20.479914,77,1.6796434E7
21.693425,68,2.5031674E7
36.419009,6,0.0
36.419009,64,3.3738816E7
