e_ref,e_min,e_max,e2dnde,excess,background,criterion
0.0357766,0.03,0.0426656,1.57224e-11,141.836,616.829,significance
0.050881,0.0426656,0.0606784,2.20472e-12,299.297,2870.98,significance
0.0723623,0.0606784,0.0862959,7.50254e-13,474.806,4748.06,bkg
0.102913,0.0862959,0.122729,5.17937e-13,364.465,3644.65,bkg
0.146361,0.122729,0.174543,4.43452e-13,243.511,1883.3,significance
0.208152,0.174543,0.248233,3.96148e-13,169.455,892.674,significance
0.296031,0.248233,0.353033,3.14183e-13,124.522,469.828,significance
0.421011,0.353033,0.502079,2.83113e-13,95.3795,267.538,significance
0.598756,0.502079,0.71405,2.32328e-13,74.7722,158.66,significance
0.851543,0.71405,1.01551,1.97728e-13,58.4394,92.4728,significance
1.21105,1.01551,1.44425,1.64399e-13,45.7273,53.2584,significance
1.72234,1.44425,2.05399,1.49046e-13,36.7827,32.1163,significance
2.44949,2.05399,2.92115,1.46695e-13,29.9751,19.5931,significance
3.48363,2.92115,4.15442,1.48313e-13,24.1139,11.2778,significance
4.95437,4.15442,5.90835,1.48032e-13,20.1326,6.9288,significance
7.04603,5.90835,8.40278,1.5682e-13,16.5135,3.88443,significance
10.0208,8.40278,11.9503,1.57731e-13,13.7356,2.13261,significance
14.2514,11.9503,16.9956,2.06344e-13,13.4136,1.96227,significance
20.2681,16.9956,24.1708,2.44561e-13,12.8747,1.69241,significance
28.8251,24.1708,34.3754,3.15955e-13,12.5186,1.52448,significance
40.9946,34.3754,48.8883,4.61947e-13,12.6193,1.57112,significance
58.3019,48.8883,69.5282,6.75346e-13,11.6715,1.15837,significance
82.9161,69.5282,98.882,8.08909e-13,11.1952,0.973154,significance
117.922,98.882,140.629,1.04276e-12,11.8542,1.23336,significance
167.707,140.629,200,1.56095e-12,10,0,gamma
